Timestamp,Username,Category,Action,Detail
2026-05-08 13:23:29,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:23:17,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:23:07,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:23:07,admin,Image Tool,ResetView,
2026-05-08 13:23:06,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:22:59,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:22:48,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:22:38,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:22:37,admin,Image Tool,ResetView,
2026-05-08 13:22:36,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:22:29,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:22:18,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:22:09,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:22:08,admin,Image Tool,ResetView,
2026-05-08 13:22:07,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:22:00,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:21:49,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:21:39,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:21:38,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:21:35,admin,Image Tool,Flip,Vertical Off
2026-05-08 13:21:34,admin,Image Tool,Flip,Vertical On
2026-05-08 13:21:34,admin,Image Tool,Flip,Horizontal Off
2026-05-08 13:21:33,admin,Image Tool,Flip,Horizontal On
2026-05-08 13:21:32,admin,Image Tool,Rotate,Counter-clockwise 90°
2026-05-08 13:21:32,admin,Image Tool,Rotate,Counter-clockwise 90°
2026-05-08 13:21:30,admin,Image Tool,Rotate,Clockwise 90°
2026-05-08 13:21:30,admin,Image Tool,Rotate,Clockwise 90°
2026-05-08 13:21:22,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:21:07,admin,Authentication,Login,
2026-05-08 13:19:08,admin,Image Tool,ResetView,
2026-05-08 13:19:07,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:19:00,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:18:49,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:18:39,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:18:39,admin,Image Tool,ResetView,
2026-05-08 13:18:38,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:18:31,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:18:20,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:18:10,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:18:10,admin,Image Tool,ResetView,
2026-05-08 13:18:09,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:18:02,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:17:24,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:17:13,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:09:51,admin,Image Tool,ResetView,
2026-05-08 13:09:50,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:05:57,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:05:04,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:04:48,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:04:46,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:04:29,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:02:16,admin,File Operation,ExportImage,MLE_4_0.tiff
2026-05-08 13:02:10,admin,File Operation,ExportImage,MLE_4_0.bmp
2026-05-08 13:02:03,admin,File Operation,ExportImage,MLE_4_0.jpg
2026-05-08 13:01:56,admin,File Operation,ExportImage,MLE_4_0.png
2026-05-08 13:01:30,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:00:15,admin,Image Tool,Flip,Vertical Off
2026-05-08 13:00:15,admin,Image Tool,Flip,Vertical On
2026-05-08 13:00:14,admin,Image Tool,Flip,Horizontal Off
2026-05-08 13:00:13,admin,Image Tool,Flip,Horizontal On
2026-05-08 12:59:01,admin,Image Tool,Flip,Horizontal Off
2026-05-08 12:59:00,admin,Image Tool,Flip,Horizontal On
2026-05-08 12:57:54,admin,Image Tool,Rotate,Counter-clockwise 90°
2026-05-08 12:57:53,admin,Image Tool,Rotate,Counter-clockwise 90°
2026-05-08 12:57:52,admin,Image Tool,Rotate,Clockwise 90°
2026-05-08 12:55:25,admin,Image Tool,Rotate,Clockwise 90°
2026-05-08 12:53:27,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 12:53:13,admin,Authentication,Login,
2026-05-08 12:34:57,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 12:34:45,admin,Authentication,Login,
2026-05-07 19:30:55,admin,Detector,SwitchOnlineMode,Online
2026-05-07 19:30:48,admin,Authentication,Login,
2026-05-07 19:30:40,admin,File Operation,ClearFiles,1 file(s)
2026-05-07 19:30:39,admin,Image Tool,ResetView,
2026-05-07 19:30:31,admin,File Operation,ExportImage,MFRTIV65_Analyzed.png
2026-05-07 19:30:11,admin,Image Tool,ApplyColorTable,"IQI detected: 18 wires at (172,127) 556x159"
2026-05-07 19:30:02,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-07 19:29:51,admin,File Operation,ClearFiles,1 file(s)
2026-05-07 19:29:42,admin,File Operation,ExportImage,MFRTIV64_HotIron.png
2026-05-07 19:29:20,admin,Image Tool,ApplyColorTable,Hot Iron
2026-05-07 19:29:18,admin,Image Tool,ResetView,
2026-05-07 19:29:10,admin,File Operation,ExportImage,MFRTIV63_Filtered.png
2026-05-07 19:28:47,admin,Filter,ApplyFilter,Clahe
2026-05-07 19:28:42,admin,Annotation,ClearAnnotations,2 annotation(s)
2026-05-07 19:28:32,admin,File Operation,ExportImage,MFRTIV62_Annotation.png
2026-05-07 19:28:13,admin,Annotation,AddAnnotation,Ruler
2026-05-07 19:28:07,admin,Annotation,AddAnnotation,Rectangle
2026-05-07 19:27:56,admin,File Operation,ExportImage,MFRTIV61_Image.tiff
2026-05-07 19:27:26,admin,File Operation,ExportImage,MFRTIV60_Image.tiff
2026-05-07 19:26:57,admin,File Operation,ExportImage,MFRTIV59_Image.tiff
2026-05-07 19:26:28,admin,File Operation,ExportImage,MFRTIV58_Image.bmp
2026-05-07 19:25:58,admin,File Operation,ExportImage,MFRTIV57_Image.bmp
2026-05-07 19:25:28,admin,File Operation,ExportImage,MFRTIV56_Image.bmp
2026-05-07 19:24:58,admin,File Operation,ExportImage,MFRTIV55_Image.jpg
2026-05-07 19:24:29,admin,File Operation,ExportImage,MFRTIV54_Image.jpg
2026-05-07 19:24:00,admin,File Operation,ExportImage,MFRTIV53_Image.jpg
2026-05-07 19:23:30,admin,File Operation,ExportImage,MFRTIV52_Image.png
2026-05-07 19:23:01,admin,File Operation,ExportImage,MFRTIV51_Image.png
2026-05-07 19:22:32,admin,File Operation,ExportImage,MFRTIV50_Image.png
2026-05-07 19:22:03,admin,File Operation,ExportImage,MFRTIV49_Image.dcm
2026-05-07 19:21:41,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-07 19:21:30,admin,File Operation,ClearFiles,2 file(s)
2026-05-07 19:21:21,admin,File Operation,ExportImage,MFRTIV47_Secondary_Grayscale.png
2026-05-07 19:20:51,admin,File Operation,ExportImage,MFRTIV47_Primary_Grayscale.png
2026-05-07 19:20:20,admin,File Operation,ExportImage,MFRTIV47_Secondary_HotIron.png
2026-05-07 19:19:50,admin,File Operation,ExportImage,MFRTIV47_Primary_HotIron.png
2026-05-07 19:19:29,admin,Image Tool,ApplyColorTable,Hot Iron
2026-05-07 19:19:24,admin,Image Tool,ApplyColorTable,Hot Iron
2026-05-07 19:19:21,admin,Filter,ResetFilter,
2026-05-07 19:19:13,admin,File Operation,ExportImage,MFRTIV45_Secondary_Filtered.png
2026-05-07 19:18:49,admin,Filter,ApplyFilter,Clahe
2026-05-07 19:18:44,admin,Filter,ResetFilter,
2026-05-07 19:18:36,admin,File Operation,ExportImage,MFRTIV45_Primary_Filtered.png
2026-05-07 19:18:12,admin,Filter,ApplyFilter,Clahe
2026-05-07 19:18:07,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-07 19:17:57,admin,File Operation,ExportImage,MFRTIV44_Secondary.png
2026-05-07 19:17:35,admin,Annotation,AddAnnotation,Rectangle
2026-05-07 19:17:30,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-07 19:17:20,admin,File Operation,ExportImage,MFRTIV44_Primary.png
2026-05-07 19:16:59,admin,Annotation,AddAnnotation,Rectangle
2026-05-07 19:16:46,admin,File Operation,ExportImage,MFRTIV43_Secondary.png
2026-05-07 19:16:17,admin,File Operation,ExportImage,MFRTIV43_Primary.png
2026-05-07 19:15:53,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-07 19:15:48,admin,Annotation,AddAnnotation,Rectangle
2026-05-07 19:15:43,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-07 19:15:38,admin,Annotation,AddAnnotation,Rectangle
2026-05-07 19:15:31,admin,Filter,ResetFilter,
2026-05-07 19:15:28,admin,Filter,ApplyFilter,Clahe
2026-05-07 19:15:21,admin,Image Tool,ResetView,
2026-05-07 19:15:19,admin,Image Tool,ResetView,
2026-05-07 19:15:16,admin,Image Tool,ResetView,
2026-05-07 19:15:14,admin,Image Tool,ResetView,
2026-05-07 19:15:13,admin,Image Tool,Flip,Vertical Off
2026-05-07 19:15:13,admin,Image Tool,Flip,Horizontal Off
