# Line Profile
Position_mm,Intensity
318.6423,34816.10
319.6443,34811.23
320.6464,34803.32
321.6484,34803.90
322.6504,34809.27
323.6524,34810.67
324.6544,34807.42
325.6565,34813.37
326.6585,34816.38
327.6605,34816.56
328.6625,34809.27
329.6645,34795.25
330.6666,34736.97
331.6686,34519.40
332.6706,34473.50
333.6726,34462.56
334.6746,34643.03
335.6767,34768.56
336.6787,34795.95
337.6807,34803.31
338.6827,34804.83
339.6847,34805.74
340.6868,34810.51
341.6888,34814.84
342.6908,34816.12
343.6928,34813.17
344.6948,34808.90
345.6969,34803.41
346.6989,34802.93
347.7009,34804.00
348.7029,34802.98
349.7049,34801.97
350.7070,34800.33
351.7090,34802.52
352.7110,34803.56
353.7130,34804.42
354.7150,34803.20
355.7171,34805.95
356.7191,34804.57
357.7211,34805.58
358.7231,34799.03
359.7251,34760.27
360.7272,34610.81
361.7292,34526.17
362.7312,34583.42
363.7332,34716.02
364.7352,34787.74
365.7373,34798.40
366.7393,34799.49
367.7413,34796.94
368.7433,34793.96
369.7453,34794.25
370.7474,34797.42
371.7494,34800.16
372.7514,34801.07
373.7534,34801.69
374.7554,34802.39
375.7575,34805.88
376.7595,34810.15
377.7615,34810.38
378.7635,34806.81
379.7655,34803.12
380.7676,34802.38
381.7696,34797.99
382.7716,34794.43
383.7736,34798.68
384.7756,34803.98
385.7777,34801.58
386.7797,34789.85
387.7817,34766.18
388.7837,34674.63
389.7857,34577.81
390.7878,34621.01
391.7898,34731.94
392.7918,34785.90
393.7938,34795.05
394.7958,34798.16
395.7979,34802.43
396.7999,34804.82
397.8019,34804.51
398.8039,34800.22
399.8059,34797.13
400.8080,34801.61
401.8100,34804.21
402.8120,34803.95
403.8140,34806.26
404.8160,34806.53
405.8181,34804.04
406.8201,34800.61
407.8221,34797.11
408.8241,34797.14
409.8261,34799.61
410.8281,34800.13
411.8302,34795.54
412.8322,34790.55
413.8342,34792.04
414.8362,34792.63
415.8382,34792.00
416.8403,34784.40
417.8423,34722.82
418.8443,34655.65
419.8463,34704.39
420.8483,34784.10
421.8504,34804.13
422.8524,34810.66
423.8544,34811.44
424.8564,34807.71
425.8584,34803.79
426.8605,34802.86
427.8625,34802.17
428.8645,34800.20
429.8665,34800.39
430.8685,34802.52
431.8706,34800.82
